Time,Joint4,Joint5
3.7676773071289062,60.001554343615496,0.2352719638665756
3.7776780128479004,60.00887257141942,0.23916744712097684
3.787679672241211,59.97570835743777,0.2306485941721966
3.797682762145996,59.931533858945045,0.23123348463495969
3.8076858520507812,59.84446021706876,0.23224690741465412
3.817687749862671,59.69399899935739,0.23309194318104265
3.8276891708374023,59.463681940253885,0.23308883674610925
3.8376896381378174,59.14193565320826,0.23160134275176864
3.8476908206939697,58.71255771543338,0.23112746774416676
3.857692003250122,58.1633038338562,0.2302660664564121
3.867694139480591,57.56316580589597,0.22938657787253802
3.877697229385376,56.76776063270711,0.22843441538726267
3.887699842453003,55.729392873800684,0.22846210519281152
3.897702217102051,55.729392873800684,0.22846210519281152
3.907705545425415,54.863820114544076,0.22821052403610956
3.917705774307251,53.51833561939113,0.22776214824829122
3.9277069568634033,52.13559100241749,0.22810964127403455
3.9377076625823975,50.60111907777736,0.22763507594973548
3.9477102756500244,48.91504791115863,0.2270744731267638
3.9577105045318604,47.07854825506729,0.2261173668636249
3.9677107334136963,45.093883249070565,0.22553506651747401
3.977712392807007,42.9655327551838,0.22384805042419414
3.98771333694458,40.69783362244027,0.22190095700256146
3.997714042663574,38.29592198865719,0.21987990725494444
4.007715940475464,35.76629527669833,0.2176020506237647
4.017717123031616,33.11696007320549,0.21439259147396303
4.027719020843506,30.355046804696006,0.21148547683901836
4.037719249725342,27.489224215109516,0.20849644520080732
4.047719717025757,24.529749946886344,0.20460852503903532
4.057721138000488,21.48237966303716,0.20097568544067845
4.067723274230957,18.363716547641506,0.19683623907969583
4.077726125717163,15.183213963880458,0.19198209704568323
4.087728500366211,11.948618535199266,0.1883125876265919
4.097731113433838,8.671176581121069,0.18409952762139004
4.107731342315674,5.0324281758450065,0.1786506532878087
4.117734432220459,1.7080426474370074,0.17298794112828683
4.127736806869507,-1.6194328921121484,0.16677912097425598
4.137738943099976,-4.941056768987337,0.16067320610160213
4.147740840911865,-8.248680650651483,0.1531157396100709
4.157743692398071,-11.52311595319623,0.1456763878897545
4.167744398117065,-14.111665805571787,0.13928317206747998
4.177746295928955,-16.66796831514288,0.1336622496673022
4.187747240066528,-19.185163348150603,0.1275280226477767
4.197747468948364,-21.96448376454046,0.12105070206858908
4.2077476978302,-24.680054388326187,0.11423956464940578
4.2177488803863525,-27.324973476100002,0.10753509328698367
4.227749824523926,-29.892300609296782,0.10087314887765327
4.237752676010132,-32.64517070124573,0.09330346641918552
4.247755527496338,-35.285841354385504,0.08589469102145002
4.25775671005249,-37.805836692960945,0.07844772583101176
4.267757177352905,-40.19792579646515,0.07081620685245327
4.277759790420532,-42.45606002356058,0.06341638696573969
4.287760496139526,-44.57446890060102,0.055869048995272036
4.297762870788574,-46.5480320432807,0.048553382214075624
4.307765960693359,-48.37391098252034,0.04119863715237886
4.317768573760986,-50.04940224127247,0.033935453340397555
4.327769994735718,-51.57260992588559,0.026763313669302707
4.337771892547607,-52.9442248046025,0.019616964757658614
4.347775220870972,-54.16511283195931,0.012912463872361068
4.452547788619995,-59.39341288792408,-0.040327195677792804
4.462548017501831,-59.46605288261301,-0.04374245855414049
4.472548723220825,-59.04063936344138,-0.07888750795371295
4.482551097869873,-59.07343834924241,-0.08123467810238924
4.492553472518921,-59.058592562405344,-0.06957317331800376
4.50255560874939,-59.00597614909129,-0.06044035645835629
4.512557506561279,-58.89136316043936,-0.05637692081217412
4.522558927536011,-58.6969463555368,-0.05326002885344435
4.532561302185059,-58.44088068839646,-0.05259412962925595
4.542563438415527,-58.06121957454126,-0.05158957722140928
4.552565574645996,-57.58507353272822,-0.0671651972076284
4.562566757202148,-56.966964531825056,-0.07264399155500902
4.572567701339722,-56.20996380181284,-0.07507857742031183
4.582570791244507,-55.50192728889448,-0.07609135225832257
4.592571973800659,-54.593532853155175,-0.0765714844320124
4.602574825286865,-53.442167663032095,-0.07609818553140929
4.612576246261597,-52.13863075798485,-0.07494872226704156
4.622577905654907,-50.83395940597949,-0.07323451895111784
4.632580518722534,-49.23817978632888,-0.07074040875142305
4.642582654953003,-47.67144253398387,-0.06863383261192492
4.652583599090576,-45.786573160564686,-0.06592686877718117
4.662585973739624,-43.75376513756594,-0.06287763207697346
4.672586441040039,-42.02356622368819,-0.0603879423003145
4.6825878620147705,-40.20361377637488,-0.05737853837016024
4.692590236663818,-38.05293059349268,-0.05401557381157463
4.702590465545654,-35.54016676789177,-0.04975463147149044
4.712593078613281,-32.90558352667085,-0.045104811790809204
4.722596168518066,-30.157043315782612,-0.04016519529884436
4.7325968742370605,-27.30290323748218,-0.03489950837223253
4.742598056793213,-24.353152561187763,-0.029081288404253922
4.752600193023682,-21.31752011346195,-0.02274461148312183
4.762601375579834,-18.205929184919075,-0.01623898677353616
4.772604465484619,-15.029890572066273,-0.009083922267285095
4.782607555389404,-11.800200096420276,-0.0016429299540671241
4.7926084995269775,-8.528023952088738,0.005920074812140924
4.802608966827393,-5.223165525111412,0.014238964587086024
4.812610626220703,-2.2360593502070363,0.02196894557727259
4.822613000869751,0.4275576446907068,0.027758683363941675
4.832615613937378,3.0913468728291282,0.03444974451574811
4.842618942260742,5.741638052996247,0.04128625402768988
4.852622032165527,8.713320831216965,0.04759291733954243
4.862622261047363,11.984750132441118,0.05371398110661525
4.872625350952148,15.208854870819708,0.061691651145230765
4.882627964019775,18.38137010838292,0.0681966936469031
4.892632961273193,21.48892195676089,0.0760799882658561
4.902634382247925,24.21868520121801,0.08368629612945187
4.912635803222656,27.172880007548883,0.09064484858679402
